       1,       1
       2,       1,       1
       3,       1,       1,       1
       4,       2
       5,       2,       1
       6,       2,       1,       1
       7,       2,       1,       1,       1
       8,       2,       2
       9,       3
      10,       3,       1
      11,       3,       1,       1
      12,       2,       2,       2
      13,       3,       2
      14,       3,       2,       1
      15,       3,       2,       1,       1
      16,       4
      17,       4,       1
      18,       3,       3
      19,       3,       3,       1
      20,       4,       2
      21,       4,       2,       1
      22,       3,       3,       2
      23,       3,       3,       2,       1
      24,       4,       2,       2
      25,       5
      26,       5,       1
      27,       3,       3,       3
      28,       3,       3,       3,       1
      29,       5,       2
      30,       5,       2,       1
      31,       3,       3,       3,       2
      32,       4,       4
      33,       4,       4,       1
      34,       5,       3
      35,       5,       3,       1
      36,       6
      37,       6,       1
      38,       5,       3,       2
      39,       5,       3,       2,       1
      40,       6,       2
      41,       5,       4
      42,       5,       4,       1
      43,       5,       3,       3
      44,       6,       2,       2
      45,       6,       3
      46,       6,       3,       1
      47,       5,       3,       3,       2
      48,       4,       4,       4
      49,       7
      50,       5,       5
      51,       5,       5,       1
      52,       6,       4
      53,       7,       2
      54,       5,       5,       2
      55,       5,       5,       2,       1
      56,       6,       4,       2
      57,       5,       4,       4
      58,       7,       3
      59,       5,       5,       3
      60,       5,       5,       3,       1
      61,       6,       5
      62,       6,       5,       1
      63,       5,       5,       3,       2
      64,       8
      65,       7,       4
      66,       5,       5,       4
      67,       7,       3,       3
      68,       8,       2
      69,       7,       4,       2
      70,       6,       5,       3
      71,       6,       5,       3,       1
      72,       6,       6
      73,       8,       3
      74,       7,       5
      75,       5,       5,       5
      76,       6,       6,       2
      77,       6,       5,       4
      78,       7,       5,       2
      79,       5,       5,       5,       2
      80,       8,       4
      81,       9
      82,       9,       1
      83,       7,       5,       3
      84,       8,       4,       2
      85,       7,       6
      86,       6,       5,       5
      87,       6,       5,       5,       1
      88,       6,       6,       4
      89,       8,       5
      90,       9,       3
      91,       9,       3,       1
      92,       6,       6,       4,       2
      93,       8,       5,       2
      94,       7,       6,       3
      95,       6,       5,       5,       3
      96,       8,       4,       4
      97,       9,       4
      98,       7,       7
      99,       7,       5,       5
     100,      10
     101,      10,       1
     102,       7,       7,       2
     103,       7,       5,       5,       2
     104,      10,       2
     105,       8,       5,       4
     106,       9,       5
     107,       7,       7,       3
     108,       6,       6,       6
     109,      10,       3
     110,       7,       6,       5
     111,       6,       5,       5,       5
     112,       6,       6,       6,       2
     113,       8,       7
     114,       7,       7,       4
     115,       9,       5,       3
     116,      10,       4
     117,       9,       6
     118,       9,       6,       1
     119,       7,       6,       5,       3
     120,      10,       4,       2
     121,      11
     122,      11,       1
     123,       7,       7,       5
     124,       6,       6,       6,       4
     125,      10,       5
     126,       9,       6,       3
     127,       7,       7,       5,       2
     128,       8,       8
     129,       8,       7,       4
     130,       9,       7
     131,       9,       5,       5
     132,       8,       8,       2
     133,       9,       6,       4
     134,       7,       7,       6
     135,       7,       6,       5,       5
     136,      10,       6
     137,      11,       4
     138,       8,       7,       5
     139,       9,       7,       3
     140,      10,       6,       2
     141,      10,       5,       4
     142,       9,       6,       5
     143,       7,       7,       6,       3
     144,      12
     145,       9,       8
     146,      11,       5
     147,       7,       7,       7
     148,      12,       2
     149,      10,       7
     150,      10,       5,       5
     151,       7,       7,       7,       2
     152,      10,       6,       4
     153,      12,       3
     154,       9,       8,       3
     155,       9,       7,       5
     156,       7,       7,       7,       3
     157,      11,       6
     158,      10,       7,       3
     159,       7,       7,       6,       5
     160,      12,       4
     161,       9,       8,       4
     162,       9,       9
     163,       9,       9,       1
     164,      10,       8
     165,      10,       7,       4
     166,       9,       7,       6
     167,       9,       6,       5,       5
     168,      10,       8,       2
     169,      13
     170,      11,       7
     171,       9,       9,       3
     172,      10,       6,       6
     173,      13,       2
     174,      10,       7,       5
     175,       9,       7,       6,       3
     176,      12,       4,       4
     177,       8,       8,       7
     178,      13,       3
     179,       9,       7,       7
     180,      12,       6
     181,      10,       9
     182,      10,       9,       1
     183,       7,       7,       7,       6
     184,      12,       6,       2
     185,      11,       8
     186,      11,       7,       4
     187,       9,       9,       5
     188,       9,       7,       7,       3
     189,      10,       8,       5
     190,      10,       9,       3
     191,       9,       7,       6,       5
     192,       8,       8,       8
     193,      12,       7
     194,      13,       5
     195,      11,       7,       5
     196,      14
     197,      14,       1
     198,       9,       9,       6
     199,       9,       9,       6,       1
     200,      10,      10
     201,      10,      10,       1
     202,      11,       9
     203,      11,       9,       1
     204,      10,      10,       2
     205,      13,       6
     206,      10,       9,       5
     207,       9,       9,       6,       3
     208,      12,       8
     209,       9,       8,       8
     210,      11,       8,       5
     211,       9,       9,       7
     212,      14,       4
     213,      10,       8,       7
     214,      13,       6,       3
     215,       9,       7,       7,       6
     216,      10,      10,       4
     217,      10,       9,       6
     218,      13,       7
     219,      11,       7,       7
     220,       9,       9,       7,       3
     221,      11,      10
     222,      11,      10,       1
     223,       9,       9,       6,       5
     224,      12,       8,       4
     225,      15
     226,      15,       1
     227,      11,       9,       5
     228,      10,       8,       8
     229,      15,       2
     230,      10,       9,       7
     231,      10,       9,       5,       5
     232,      14,       6
     233,      13,       8
     234,      15,       3
     235,      15,       3,       1
     236,      10,      10,       6
     237,      11,      10,       4
     238,      11,       9,       6
     239,      10,       9,       7,       3
     240,      10,      10,       6,       2
     241,      15,       4
     242,      11,      11
     243,       9,       9,       9
     244,      12,      10
     245,      14,       7
     246,      11,      10,       5
     247,       9,       9,       7,       6
     248,      12,      10,       2
     249,      10,      10,       7
     250,      13,       9
     251,      11,       9,       7
     252,       9,       9,       9,       3
     253,      12,      10,       3
     254,      13,       7,       6
     255,      10,       9,       7,       5
     256,      16
     257,      16,       1
     258,      11,      11,       4
     259,      13,       9,       3
     260,      14,       8
     261,      15,       6
     262,      10,       9,       9
     263,      10,       9,       9,       1
     264,      10,      10,       8
     265,      12,      11
     266,      11,       9,       8
     267,      11,      11,       5
     268,      14,       6,       6
     269,      13,      10
     270,      11,      10,       7
     271,      10,       9,       9,       3
     272,      16,       4
     273,      13,      10,       2
     274,      15,       7
     275,      13,       9,       5
     276,      14,       8,       4
     277,      14,       9
     278,      11,      11,       6
     279,       9,       9,       9,       6
     280,      12,      10,       6
     281,      16,       5
     282,      13,       8,       7
     283,      11,       9,       9
     284,      11,       9,       9,       1
     285,      11,      10,       8
     286,      13,       9,       6
     287,      10,       9,       9,       5
     288,      12,      12
     289,      17
     290,      13,      11
     291,      11,      11,       7
     292,      16,       6
     293,      17,       2
     294,      13,      10,       5
     295,      11,      10,       7,       5
     296,      14,      10
     297,      12,      12,       3
     298,      17,       3
     299,      13,       9,       7
     300,      10,      10,      10
     301,      12,      11,       6
     302,      11,      10,       9
     303,      11,      10,       9,       1
     304,      12,      12,       4
     305,      16,       7
     306,      15,       9
     307,      15,       9,       1
     308,      12,      10,       8
     309,      14,       8,       7
     310,      15,       7,       6
     311,      10,       9,       9,       7
     312,      14,      10,       4
     313,      13,      12
     314,      17,       5
     315,      13,      11,       5
     316,      10,      10,      10,       4
     317,      14,      11
     318,      13,      10,       7
     319,      11,       9,       9,       6
     320,      16,       8
     321,      11,      10,      10
     322,      13,      12,       3
     323,      11,      11,       9
     324,      18
     325,      15,      10
     326,      13,      11,       6
     327,      11,      10,       9,       5
     328,      18,       2
     329,      12,      11,       8
     330,      16,       7,       5
     331,      13,       9,       9
     332,      14,      10,       6
     333,      18,       3
     334,      15,      10,       3
     335,      13,       9,       7,       6
     336,      16,       8,       4
     337,      16,       9
     338,      13,      13
     339,      13,      11,       7
     340,      14,      12
     341,      14,       9,       8
     342,      11,      11,      10
     343,      10,       9,       9,       9
     344,      12,      10,      10
     345,      14,      10,       7
     346,      15,      11
     347,      13,      13,       3
     348,      11,      11,       9,       5
     349,      18,       5
     350,      13,      10,       9
     351,      11,      10,       9,       7
     352,      12,      12,       8
     353,      17,       8
