0->1
1->8
2->27
3->64
4->125
5->216
6->343
7->512
8->729
9->1000
       1,       1
       2,       1,       1
       3,       1,       1,       1
       4,       1,       1,       1,       1
       5,       1,       1,       1,       1,       1
       6,       1,       1,       1,       1,       1,       1
       7,       1,       1,       1,       1,       1,       1,       1
       8,       2
       9,       2,       1
      10,       2,       1,       1
      11,       2,       1,       1,       1
      12,       2,       1,       1,       1,       1
      13,       2,       1,       1,       1,       1,       1
      14,       2,       1,       1,       1,       1,       1,       1
      15,       2,       1,       1,       1,       1,       1,       1,       1
      16,       2,       2
      17,       2,       2,       1
      18,       2,       2,       1,       1
      19,       2,       2,       1,       1,       1
      20,       2,       2,       1,       1,       1,       1
      21,       2,       2,       1,       1,       1,       1,       1
      22,       2,       2,       1,       1,       1,       1,       1,       1
      23,       2,       2,       1,       1,       1,       1,       1,       1,       1
      24,       2,       2,       2
      25,       2,       2,       2,       1
      26,       2,       2,       2,       1,       1
      27,       3
      28,       3,       1
      29,       3,       1,       1
      30,       3,       1,       1,       1
      31,       3,       1,       1,       1,       1
      32,       2,       2,       2,       2
      33,       2,       2,       2,       2,       1
      34,       2,       2,       2,       2,       1,       1
      35,       3,       2
      36,       3,       2,       1
      37,       3,       2,       1,       1
      38,       3,       2,       1,       1,       1
      39,       3,       2,       1,       1,       1,       1
      40,       2,       2,       2,       2,       2
      41,       2,       2,       2,       2,       2,       1
      42,       2,       2,       2,       2,       2,       1,       1
      43,       3,       2,       2
      44,       3,       2,       2,       1
      45,       3,       2,       2,       1,       1
      46,       3,       2,       2,       1,       1,       1
      47,       3,       2,       2,       1,       1,       1,       1
      48,       2,       2,       2,       2,       2,       2
      49,       2,       2,       2,       2,       2,       2,       1
      50,       2,       2,       2,       2,       2,       2,       1,       1
      51,       3,       2,       2,       2
      52,       3,       2,       2,       2,       1
      53,       3,       2,       2,       2,       1,       1
      54,       3,       3
      55,       3,       3,       1
      56,       3,       3,       1,       1
      57,       3,       3,       1,       1,       1
      58,       3,       3,       1,       1,       1,       1
      59,       3,       2,       2,       2,       2
      60,       3,       2,       2,       2,       2,       1
      61,       3,       2,       2,       2,       2,       1,       1
      62,       3,       3,       2
      63,       3,       3,       2,       1
      64,       4
      65,       4,       1
      66,       4,       1,       1
      67,       4,       1,       1,       1
      68,       4,       1,       1,       1,       1
      69,       4,       1,       1,       1,       1,       1
      70,       3,       3,       2,       2
      71,       3,       3,       2,       2,       1
      72,       4,       2
      73,       4,       2,       1
      74,       4,       2,       1,       1
      75,       4,       2,       1,       1,       1
      76,       4,       2,       1,       1,       1,       1
      77,       4,       2,       1,       1,       1,       1,       1
      78,       3,       3,       2,       2,       2
      79,       3,       3,       2,       2,       2,       1
      80,       4,       2,       2
      81,       3,       3,       3
      82,       3,       3,       3,       1
      83,       3,       3,       3,       1,       1
      84,       3,       3,       3,       1,       1,       1
      85,       3,       3,       3,       1,       1,       1,       1
      86,       3,       3,       2,       2,       2,       2
      87,       3,       3,       2,       2,       2,       2,       1
      88,       4,       2,       2,       2
      89,       3,       3,       3,       2
      90,       3,       3,       3,       2,       1
      91,       4,       3
      92,       4,       3,       1
      93,       4,       3,       1,       1
      94,       4,       3,       1,       1,       1
      95,       4,       3,       1,       1,       1,       1
      96,       4,       2,       2,       2,       2
      97,       3,       3,       3,       2,       2
      98,       3,       3,       3,       2,       2,       1
      99,       4,       3,       2
     100,       4,       3,       2,       1
     101,       4,       3,       2,       1,       1
     102,       4,       3,       2,       1,       1,       1
     103,       4,       3,       2,       1,       1,       1,       1
     104,       4,       2,       2,       2,       2,       2
     105,       3,       3,       3,       2,       2,       2
     106,       3,       3,       3,       2,       2,       2,       1
     107,       4,       3,       2,       2
     108,       3,       3,       3,       3
     109,       3,       3,       3,       3,       1
     110,       3,       3,       3,       3,       1,       1
     111,       3,       3,       3,       3,       1,       1,       1
     112,       4,       2,       2,       2,       2,       2,       2
     113,       3,       3,       3,       2,       2,       2,       2
     114,       3,       3,       3,       2,       2,       2,       2,       1
     115,       4,       3,       2,       2,       2
     116,       3,       3,       3,       3,       2
     117,       3,       3,       3,       3,       2,       1
     118,       4,       3,       3
     119,       4,       3,       3,       1
     120,       4,       3,       3,       1,       1
     121,       4,       3,       3,       1,       1,       1
     122,       4,       3,       3,       1,       1,       1,       1
     123,       4,       3,       2,       2,       2,       2
     124,       3,       3,       3,       3,       2,       2
     125,       5
     126,       5,       1
     127,       5,       1,       1
     128,       4,       4
     129,       4,       4,       1
     130,       4,       4,       1,       1
     131,       4,       4,       1,       1,       1
     132,       4,       4,       1,       1,       1,       1
     133,       5,       2
     134,       5,       2,       1
     135,       5,       2,       1,       1
     136,       4,       4,       2
     137,       4,       4,       2,       1
     138,       4,       4,       2,       1,       1
     139,       4,       4,       2,       1,       1,       1
     140,       4,       4,       2,       1,       1,       1,       1
     141,       5,       2,       2
     142,       5,       2,       2,       1
     143,       5,       2,       2,       1,       1
     144,       4,       4,       2,       2
     145,       4,       3,       3,       3
     146,       4,       3,       3,       3,       1
     147,       4,       3,       3,       3,       1,       1
     148,       4,       3,       3,       3,       1,       1,       1
     149,       5,       2,       2,       2
     150,       5,       2,       2,       2,       1
     151,       5,       2,       2,       2,       1,       1
     152,       5,       3
     153,       5,       3,       1
     154,       5,       3,       1,       1
     155,       4,       4,       3
     156,       4,       4,       3,       1
     157,       4,       4,       3,       1,       1
     158,       4,       4,       3,       1,       1,       1
     159,       4,       4,       3,       1,       1,       1,       1
     160,       5,       3,       2
     161,       5,       3,       2,       1
     162,       5,       3,       2,       1,       1
     163,       4,       4,       3,       2
     164,       4,       4,       3,       2,       1
     165,       4,       4,       3,       2,       1,       1
     166,       4,       4,       3,       2,       1,       1,       1
     167,       4,       4,       3,       2,       1,       1,       1,       1
     168,       5,       3,       2,       2
     169,       5,       3,       2,       2,       1
     170,       5,       3,       2,       2,       1,       1
     171,       4,       4,       3,       2,       2
     172,       4,       3,       3,       3,       3
     173,       4,       3,       3,       3,       3,       1
     174,       4,       3,       3,       3,       3,       1,       1
     175,       4,       3,       3,       3,       3,       1,       1,       1
     176,       5,       3,       2,       2,       2
     177,       5,       3,       2,       2,       2,       1
     178,       5,       3,       2,       2,       2,       1,       1
     179,       5,       3,       3
     180,       5,       3,       3,       1
     181,       5,       3,       3,       1,       1
     182,       4,       4,       3,       3
     183,       4,       4,       3,       3,       1
     184,       4,       4,       3,       3,       1,       1
     185,       4,       4,       3,       3,       1,       1,       1
     186,       4,       4,       3,       3,       1,       1,       1,       1
     187,       5,       3,       3,       2
     188,       5,       3,       3,       2,       1
     189,       5,       4
     190,       5,       4,       1
     191,       5,       4,       1,       1
     192,       4,       4,       4
     193,       4,       4,       4,       1
     194,       4,       4,       4,       1,       1
     195,       5,       3,       3,       2,       2
     196,       5,       3,       3,       2,       2,       1
     197,       5,       4,       2
     198,       5,       4,       2,       1
     199,       5,       4,       2,       1,       1
     200,       4,       4,       4,       2
     201,       4,       4,       4,       2,       1
     202,       4,       4,       4,       2,       1,       1
     203,       5,       3,       3,       2,       2,       2
     204,       5,       3,       3,       2,       2,       2,       1
     205,       5,       4,       2,       2
     206,       5,       3,       3,       3
     207,       5,       3,       3,       3,       1
     208,       4,       4,       4,       2,       2
     209,       4,       4,       3,       3,       3
     210,       4,       4,       3,       3,       3,       1
     211,       4,       4,       3,       3,       3,       1,       1
     212,       4,       4,       3,       3,       3,       1,       1,       1
     213,       5,       4,       2,       2,       2
     214,       5,       3,       3,       3,       2
     215,       5,       3,       3,       3,       2,       1
     216,       6
     217,       6,       1
     218,       6,       1,       1
     219,       4,       4,       4,       3
     220,       4,       4,       4,       3,       1
     221,       4,       4,       4,       3,       1,       1
     222,       5,       3,       3,       3,       2,       2
     223,       5,       3,       3,       3,       2,       2,       1
     224,       6,       2
     225,       6,       2,       1
     226,       6,       2,       1,       1
     227,       4,       4,       4,       3,       2
     228,       4,       4,       4,       3,       2,       1
     229,       4,       4,       4,       3,       2,       1,       1
     230,       5,       3,       3,       3,       2,       2,       2
     231,       5,       3,       3,       3,       2,       2,       2,       1
     232,       6,       2,       2
     233,       6,       2,       2,       1
     234,       6,       2,       2,       1,       1
     235,       4,       4,       4,       3,       2,       2
     236,       4,       4,       3,       3,       3,       3
     237,       4,       4,       3,       3,       3,       3,       1
     238,       4,       4,       3,       3,       3,       3,       1,       1
     239,       4,       4,       3,       3,       3,       3,       1,       1,       1
     240,       6,       2,       2,       2
     241,       6,       2,       2,       2,       1
     242,       6,       2,       2,       2,       1,       1
     243,       6,       3
     244,       6,       3,       1
     245,       6,       3,       1,       1
     246,       4,       4,       4,       3,       3
     247,       4,       4,       4,       3,       3,       1
     248,       6,       2,       2,       2,       2
     249,       6,       2,       2,       2,       2,       1
     250,       5,       5
     251,       5,       5,       1
     252,       5,       5,       1,       1
     253,       5,       4,       4
     254,       5,       4,       4,       1
     255,       5,       4,       4,       1,       1
     256,       4,       4,       4,       4
     257,       4,       4,       4,       4,       1
     258,       5,       5,       2
     259,       5,       5,       2,       1
     260,       5,       5,       2,       1,       1
     261,       5,       4,       4,       2
     262,       5,       4,       4,       2,       1
     263,       5,       4,       4,       2,       1,       1
     264,       4,       4,       4,       4,       2
     265,       4,       4,       4,       4,       2,       1
     266,       5,       5,       2,       2
     267,       5,       5,       2,       2,       1
     268,       5,       5,       2,       2,       1,       1
     269,       5,       4,       4,       2,       2
     270,       6,       3,       3
     271,       6,       3,       3,       1
     272,       6,       3,       3,       1,       1
     273,       4,       4,       4,       3,       3,       3
     274,       5,       5,       2,       2,       2
     275,       5,       5,       2,       2,       2,       1
     276,       5,       5,       2,       2,       2,       1,       1
     277,       5,       5,       3
     278,       5,       5,       3,       1
     279,       5,       5,       3,       1,       1
     280,       6,       4
     281,       6,       4,       1
     282,       6,       4,       1,       1
     283,       4,       4,       4,       4,       3
     284,       4,       4,       4,       4,       3,       1
     285,       5,       5,       3,       2
     286,       5,       5,       3,       2,       1
     287,       5,       5,       3,       2,       1,       1
     288,       6,       4,       2
     289,       6,       4,       2,       1
     290,       6,       4,       2,       1,       1
     291,       4,       4,       4,       4,       3,       2
     292,       4,       4,       4,       4,       3,       2,       1
     293,       5,       5,       3,       2,       2
     294,       5,       5,       3,       2,       2,       1
     295,       5,       5,       3,       2,       2,       1,       1
     296,       6,       4,       2,       2
     297,       6,       3,       3,       3
     298,       6,       3,       3,       3,       1
     299,       6,       3,       3,       3,       1,       1
     300,       4,       4,       4,       3,       3,       3,       3
     301,       5,       5,       3,       2,       2,       2
     302,       5,       5,       3,       2,       2,       2,       1
     303,       5,       5,       3,       2,       2,       2,       1,       1
     304,       5,       5,       3,       3
     305,       5,       5,       3,       3,       1
     306,       5,       5,       3,       3,       1,       1
     307,       6,       4,       3
     308,       6,       4,       3,       1
